group,replicate,fastq_1,fastq_2,antibody,control
H3K4me1_T0,1,https://github.com/TheJacksonLaboratory/cs-nf-test/main/chipseq/human//ENCFF501VGT_subset.fastq.gz,https://github.com/TheJacksonLaboratory/cs-nf-test/main/chipseq/human//ENCFF980OWC_subset.fastq.gz,H3K4me1,H3K4me1_INPUT
H3K4me1_T0,2,https://github.com/TheJacksonLaboratory/cs-nf-test/main/chipseq/human//ENCFF318LVI_subset.fastq.gz,https://github.com/TheJacksonLaboratory/cs-nf-test/main/chipseq/human//ENCFF188UNI_subset.fastq.gz,H3K4me1,H3K4me1_INPUT
H3K4me1_INPUT,1,https://github.com/TheJacksonLaboratory/cs-nf-test/main/chipseq/human//ENCFF388YCF_subset.fastq.gz,https://github.com/TheJacksonLaboratory/cs-nf-test/main/chipseq/human//ENCFF877ZJH_subset.fastq.gz,,
